issuer_name,deal_short_name,as_of_date,metric_type,stat_type,stat_value
Carvana,CRVNA 2020-P1,07/11/2025,30+DQ,avg,0.05684700000000001
Carvana,CRVNA 2020-P1,07/11/2025,60+DQ,max,0.0333248
Carvana,CRVNA 2020-P1,07/11/2025,60+DQ,min,0.0227699
Carvana,CRVNA 2020-P1,07/11/2025,60+DQ,avg,0.026859508333333334
Carvana,CRVNA 2020-P1,07/11/2025,90+DQ,max,0.0079166
Carvana,CRVNA 2020-P1,07/11/2025,90+DQ,min,0.0042693
Carvana,CRVNA 2020-P1,07/11/2025,90+DQ,avg,0.00555065
Carvana,CRVNA 2020-P1,07/11/2025,Extensions,max,0.0078459
Carvana,CRVNA 2020-P1,07/11/2025,Extensions,min,0.0043490000000000004
Carvana,CRVNA 2020-P1,07/11/2025,Extensions,avg,0.0065070833333333335
Carvana,CRVNA 2021-P1,07/11/2025,30+DQ,max,0.0630222
Carvana,CRVNA 2021-P1,07/11/2025,30+DQ,min,0.0459721
Carvana,CRVNA 2021-P1,07/11/2025,30+DQ,avg,0.05677216666666667
Carvana,CRVNA 2021-P1,07/11/2025,60+DQ,max,0.0298919
Carvana,CRVNA 2021-P1,07/11/2025,60+DQ,min,0.0212618
Carvana,CRVNA 2021-P1,07/11/2025,60+DQ,avg,0.025483249999999995
Carvana,CRVNA 2021-P1,07/11/2025,90+DQ,max,0.0061356
Carvana,CRVNA 2021-P1,07/11/2025,90+DQ,min,0.0027239
Carvana,CRVNA 2021-P1,07/11/2025,90+DQ,avg,0.004283541666666666
Carvana,CRVNA 2021-P1,07/11/2025,Extensions,max,0.0109021
Carvana,CRVNA 2021-P1,07/11/2025,Extensions,min,0.0030304999999999998
Carvana,CRVNA 2021-P1,07/11/2025,Extensions,avg,0.00733475
Carvana,CRVNA 2021-P2,07/11/2025,30+DQ,max,0.0713204
Carvana,CRVNA 2021-P2,07/11/2025,30+DQ,min,0.0486654
Carvana,CRVNA 2021-P2,07/11/2025,30+DQ,avg,0.061797383333333324
Carvana,CRVNA 2021-P2,07/11/2025,60+DQ,max,0.0325673
Carvana,CRVNA 2021-P2,07/11/2025,60+DQ,min,0.0195005
Carvana,CRVNA 2021-P2,07/11/2025,60+DQ,avg,0.027607850000000003
Carvana,CRVNA 2021-P2,07/11/2025,90+DQ,max,0.0057738
